Name,Canvas_X,Canvas_Y,Downstream_Element,Initial_Elev
Chambers Creek WS SCS Site 17 Dam,694326.7397,3585029.177,Junction_1,105.5
Chambers Creek WS SCS Site 16 Dam,690901.774,3587685.88,Reach_2,98
Chambers Creek WS SCS Site 8 Dam,694627.8872,3591374.431,Reach_2,90
Chambers Creek WS SCS Site 7 Dam,692620.1493,3591974.049,Reach_2,0
Chambers Creek WS SCS Site 6 Dam,692106.3301,3592721.014,Reach_2,0
Chambers Creek WS SCS Site 5 Dam,689814.3027,3592684.37,Reach_2,0
Chambers Creek WS SCS Site 2f Dam,694824.4632,3593965.752,Reach_2,0
Chambers Creek WS SCS Site 2a Dam,694467.9095,3596353.223,Reach_2,0
Mountain Creek WS SCS Site 9 Dam,682880.9976,3596266.011,Reach_2,0
Chambers Creek WS SCS Site 4 Dam,690934.5523,3596510.986,Reach_2,0
Chambers Creek WS SCS Site 3 Dam,689805.5929,3596625.41,Reach_2,0
Mountain Creek WS SCS Site 10 Dam,683939.9316,3597322.795,Reach_2,0
Chambers Creek WS SCS Site 2b Dam,693847.5067,3597791.41,Reach_2,0
Chambers Creek WS SCS Site 1 Dam,693070.9582,3598265.245,Reach_2,0
Chambers Creek WS SCS Site 15 Dam,699509.5785,3585914.779,Reach_2,0
Chambers Creek WS SCS Site 14 Dam,700542.7234,3588271.334,Reach_2,0
Chambers Creek WS SCS Site 12 Dam,697291.0055,3588561.469,Reach_2,0
Chambers Creek WS SCS Site 13 Dam,698789.0442,3588873.306,Reach_2,0
Chambers Creek WS SCS Site 9 Dam,696486.5043,3589650.615,Reach_2,0
Chambers Creek WS SCS Site 11 Dam,697612.5388,3590653.952,Reach_2,0
Chambers Creek WS SCS Site 10 Dam,697628.5988,3592393.907,Reach_2,0
Mountain Creek WS SCS Site 11 Dam,683234.1521,3599795.704,Reach_2,0
